business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
0vCsslN-TYnDeOSNT4rIfg,Whole Foods Market,14598 Clay Terrace Blvd,Carmel,IN,46032,39.999084,-86.131076,3.5,44,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '3', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'None', 'Caters': 'True'}","Food, Organic Stores, Specialty Food, Health Markets, Grocery","{'Monday': '0:0-0:0', 'Tuesday': '8:0-22:0', 'Wednesday': '8:0-22:0', 'Thursday': '7:0-15:0', 'Friday': '8:0-21:0', 'Saturday': '9:0-20:0', 'Sunday': '8:0-21:0'}"
SZU9c8V2GuREDN5KgyHFJw,Santa Barbara Shellfish Company,230 Stearns Wharf,Santa Barbara,CA,93101,34.4087147,-119.6850187,4.0,2404,1,"{'OutdoorSeating': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'False', 'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'False', 'WiFi': ""u'no'"", 'Alcohol': ""'beer_and_wine'"", 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': True, 'lot': False, 'valet': False}"", 'HasTV': 'False', 'ByAppointmentOnly': 'False', 'GoodForKids': 'True', 'Caters': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'RestaurantsDelivery': 'True', 'HappyHour': 'False', 'Music': ""{u'dj': False, u'live': False, u'jukebox': False, u'video': False, u'background_music': False, u'karaoke': False, u'no_music': False}"", 'GoodForMeal': ""{u'breakfast': False, u'brunch': None, u'lunch': True, u'dinner': True, u'latenight': False, u'dessert': False}"", 'CoatCheck': 'False', 'BestNights': ""{u'monday': False, u'tuesday': False, u'wednesday': False, u'thursday': False, u'friday': False, u'saturday': True, u'sunday': False}"", 'BusinessAcceptsBitcoin': 'False'}","Live/Raw Food, Restaurants, Seafood, Beer Bar, Beer, Wine & Spirits, Bars, Food, Nightlife","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-14:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}"
WYYdQDjx-DsCanlP0DpImQ,J Sushi,243 S 10th St,Philadelphia,PA,19107,39.9470334,-75.1574339,4.5,72,0,"{'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Alcohol': ""'none'"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'GoodForKids': 'True', 'WiFi': ""u'free'"", 'HasTV': 'True', 'RestaurantsDelivery': 'True', 'Caters': 'True', 'RestaurantsTableService': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'NoiseLevel': ""u'average'"", 'RestaurantsReservations': 'True', 'RestaurantsGoodForGroups': 'True'}","Seafood, Restaurants, Sushi Bars, Japanese","{'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:30', 'Saturday': '12:0-22:30', 'Sunday': '12:0-22:0'}"
X_E7U2lVNEwbH_gpOBmAHQ,Cerveza Jack's,135 2nd Ave N,Nashville,TN,37201,36.162799,-86.776016,4.0,182,1,"{'GoodForDancing': 'True', 'Smoking': ""u'no'"", 'GoodForKids': 'False', 'RestaurantsDelivery': 'False', 'BikeParking': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'CoatCheck': 'False', 'DogsAllowed': 'False', 'RestaurantsTakeOut': 'True', 'WiFi': ""'free'"", 'DriveThru': 'False', 'RestaurantsTableService': 'True', 'BusinessParking': ""{'garage': None, 'street': True, 'validated': None, 'lot': False, 'valet': False}"", 'BestNights': ""{'monday': False, 'tuesday': True, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}"", 'RestaurantsReservations': 'False', 'NoiseLevel': ""u'loud'"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}"", 'HasTV': 'True', 'HappyHour': 'True', 'Alcohol': ""u'full_bar'"", 'Caters': 'False', 'OutdoorSeating': 'None', 'Ambience': ""{u'divey': None, u'hipster': None, u'casual': True, u'touristy': None, u'trendy': True, u'intimate': False, u'romantic': False, u'classy': None, u'upscale': False}"", 'BusinessAcceptsCreditCards': 'True', 'GoodForMeal': ""{'dessert': None, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}""}","Nightlife, Restaurants, Bars, Mexican","{'Monday': '0:0-0:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-1:0', 'Saturday': '11:0-1:0', 'Sunday': '11:0-22:0'}"
BxhkoR6cscJwwex8gx31OA,Bar-B-Cutie,1787 Gallatin Pike N,Madison,TN,37115,36.296536,-86.700179,3.5,40,1,"{'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Alcohol': ""u'none'"", 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""'average'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'WiFi': ""u'no'"", 'Caters': 'True', 'DriveThru': 'True', 'Ambience': ""{u'divey': None, u'hipster': False, u'casual': True, u'touristy': None, u'trendy': False, u'intimate': False, u'romantic': False, u'classy': False, u'upscale': False}"", 'BikeParking': 'True', 'HasTV': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '2'}","Restaurants, Barbeque","{'Monday': '10:0-20:30', 'Tuesday': '10:0-20:30', 'Wednesday': '10:0-20:30', 'Thursday': '10:0-20:30', 'Friday': '10:0-21:30', 'Saturday': '10:0-21:30', 'Sunday': '10:0-20:0'}"
l6VYP8AxIoW6U52aDo8fXg,HMV Superstore,8882 170th Street,Edmonton,AB,T5T 4M2,53.5114948,-113.6450474,4.0,24,0,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True'}","Home & Garden, Music & DVDs, Fashion, Accessories, Shopping, Home Decor, Books, Mags, Music & Video, Video Game Stores","{'Monday': '10:0-21:0', 'Tuesday': '9:30-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '11:0-18:0'}"
ORL4JE6tz3rJxVqkdKfegA,Gaylord Opryland Resort & Convention Center,2800 Opryland Dr,Nashville,TN,37214,36.2115923083,-86.6943191727,3.0,1639,1,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '3', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'OutdoorSeating': 'True', 'RestaurantsReservations': 'True', 'HasTV': 'True', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'very_loud'"", 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsBitcoin': 'False', 'Music': ""{'dj': True, 'background_music': True, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': True}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'BYOBCorkage': ""'no'"", 'Smoking': ""u'outdoor'"", 'BYOB': 'True', 'RestaurantsTableService': 'True', 'Caters': 'True', 'Alcohol': ""'full_bar'"", 'DogsAllowed': 'False', 'WheelchairAccessible': 'True', 'HappyHour': 'True', 'GoodForDancing': 'False', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}"", 'WiFi': ""u'paid'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': True, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'CoatCheck': 'True'}","Venues & Event Spaces, Performing Arts, Arts & Entertainment, Hotels & Travel, Food, Convenience Stores, American (New), Beauty & Spas, Restaurants, Museums, Event Planning & Services, Hotels, Cinema, Resorts, Day Spas","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
P10BsKUeoeCeVoK4BS2u0w,Trust Me BBQ,8624 US Hwy 301 S,Riverview,FL,33569,27.8652573,-82.3260903,4.0,29,0,"{'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': True, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '1', 'Alcohol': ""u'none'"", 'RestaurantsGoodForGroups': 'True', 'WiFi': ""u'no'"", 'RestaurantsReservations': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'BikeParking': 'False', 'Caters': 'True', 'NoiseLevel': ""u'quiet'"", 'HasTV': 'False', 'OutdoorSeating': 'True'}","Restaurants, Barbeque",
LGqiubTmpJ-A1L5n7dmc6g,Domino's Pizza,"1525 Lapalco Blvd, # A",Harvey,LA,70058,29.8753202,-90.045817,1.5,14,0,"{'RestaurantsGoodForGroups': 'False', 'Caters': 'True', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'no'"", 'RestaurantsReservations': 'False', 'Alcohol': ""u'none'"", 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'BikeParking': 'False', 'RestaurantsAttire': ""u'casual'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsDelivery': 'False', 'GoodForKids': 'True', 'OutdoorSeating': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Restaurants, Sandwiches, Pizza, Chicken Wings","{'Monday': '10:0-1:0', 'Tuesday': '10:0-1:0', 'Wednesday': '10:0-1:0', 'Thursday': '10:0-1:0', 'Friday': '10:0-1:0', 'Saturday': '10:0-1:0', 'Sunday': '10:0-1:0'}"
2dlQX5sP9X6Dlm1MmNOlSw,ReAnimator Coffee,1523 E Susquehanna Ave,Philadelphia,PA,19125,39.9764555,-75.1270254,4.0,105,1,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'True', 'WiFi': ""u'free'"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'False', 'RestaurantsDelivery': 'False'}","Food, Coffee & Tea","{'Monday': '0:0-0:0', 'Tuesday': '8:0-15:0', 'Wednesday': '7:0-15:0', 'Thursday': '8:0-15:0', 'Friday': '7:0-15:0', 'Saturday': '8:0-15:0', 'Sunday': '8:0-15:0'}"
25Uww0C0wvF9CZ_3B6vWtA,Enjoy The Mountain,1 Garden St,Santa Barbara,CA,93105,34.4143420056,-119.6873324599,4.5,48,1,"{'WheelchairAccessible': 'True', 'BikeParking': 'True', 'ByAppointmentOnly': 'True', 'DogsAllowed': 'True', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'free'""}","Motorcycle Rental, Tours, Hiking, Mountain Biking, ATV Rentals/Tours, RV Rental, Hotels & Travel, Arts & Entertainment, Active Life","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-17:0', 'Sunday': '9:0-17:0'}"
Dtuf4vD0znzwJW9vk3iTNw,Tomo Japanese Steakhouse and Sushi Bar,"7411 N Keystone Ave, Ste A",Indianapolis,IN,46240,39.8887246,-86.1212129,4.0,246,1,"{'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'True', 'Alcohol': ""u'full_bar'"", 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'average'"", 'BikeParking': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'HasTV': 'True', 'RestaurantsAttire': ""u'casual'"", 'Caters': 'False', 'DogsAllowed': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTableService': 'True', 'HappyHour': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'RestaurantsDelivery': 'True'}","Steakhouses, Restaurants, Sushi Bars, Japanese","{'Monday': '0:0-0:0', 'Tuesday': '16:30-22:0', 'Wednesday': '16:30-22:0', 'Thursday': '16:30-22:0', 'Friday': '16:30-22:30', 'Saturday': '12:0-22:30', 'Sunday': '12:30-21:30'}"
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,765 S 4th St,Philadelphia,PA,19147,39.9385518,-75.1496356,4.5,183,1,"{'BikeParking': 'True', 'OutdoorSeating': 'True', 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsAttire': ""'casual'"", 'RestaurantsGoodForGroups': 'False', 'WiFi': ""'free'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'NoiseLevel': ""u'quiet'"", 'Caters': 'False', 'RestaurantsTakeOut': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'False', 'HasTV': 'True', 'RestaurantsDelivery': 'False', 'Alcohol': ""'none'""}","Restaurants, Breakfast & Brunch, Vegan, Bagels, Food, Coffee & Tea","{'Monday': '7:0-18:0', 'Tuesday': '7:0-18:0', 'Wednesday': '7:0-18:0', 'Thursday': '7:0-18:0', 'Friday': '7:0-18:0', 'Saturday': '7:0-18:0', 'Sunday': '7:0-18:0'}"
